Subject info,Project,Project 1,,,,,
,First Name,,,,,,
,Last Name,Kehlin trial,,,,,
,Sex,Male,,,,,
,Date of birth,,,,,,
,,,,,,,
Record info,Name,Homer Technique,,,,,
,Date Measured,6/15/2018 10:51,,,,,
,Number of periods,1,,,,,
,,,,,,,
Analyzed Signal,"Time, s",,"TIB.ANT. RT, uV","PERONEUS RT, uV","LAT. GASTRO RT, uV","MED. GASTRO RT, uV","Homer Technique, phases"
,119.7493,,0.291741,0.709373,-11.4496,-21.606,1
,119.75,,0.291741,-2.91631,-7.18366,-14.6409,1
,119.7507,,-0.364676,-2.0493,-1.06648,-14.2856,1
,119.7513,,0.291741,-0.788192,-4.42691,-1.20823,1
,119.752,,2.11512,1.6552,-11.4496,38.8056,1
,119.7527,,2.11512,4.72915,-16.0174,56.5026,1
,119.7533,,-0.364676,2.28576,-27.0041,22.9564,1
,119.754,,-2.77154,-0.157638,-29.4591,11.6559,1
,119.7547,,-4.01144,-0.157638,-1.36832,67.8031,1
,119.7553,,-4.01144,-11.8229,27.306,98.2932,1
,119.756,,-1.89632,-24.5916,23.3419,28.1447,1
,119.7567,,1.82338,-13.3204,11.4496,-71.7121,1
,119.7573,,6.05363,8.03956,13.8844,-108.314,1
,119.758,,9.70039,13.2416,14.4881,-76.545,1
,119.7587,,9.40865,9.30067,5.9562,-28.3579,1
,119.7593,,5.1784,10.1677,-5.03058,-5.75687,1
,119.76,,3.64676,10.1677,-6.86171,2.48754,1
,119.7607,,4.81373,5.28089,5.63425,17.7681,1
,119.7613,,4.23024,2.52221,17.5467,21.3928,1
,119.762,,0.583482,4.0986,6.86171,5.54365,1
,119.7627,,-1.53164,6.54199,-14.5082,7.67582,1
,119.7633,,-0.364676,6.54199,-17.8485,49.4664,1
,119.764,,2.11512,8.03956,-3.19945,96.161,1
,119.7647,,3.64676,9.53712,2.29394,70.8592,1
,119.7653,,2.11512,4.96561,1.36832,-50.035,1
,119.766,,0.875223,2.28576,16.0174,-138.52,1
,119.7667,,0.291741,6.54199,28.2316,-93.0338,1
,119.7673,,0.583482,7.09373,17.8485,-19.8292,1
,119.768,,2.6986,2.52221,11.4496,-13.717,1
,119.7687,,4.52199,1.33993,19.9815,-5.47258,1
,119.7693,,2.99035,1.97048,12.9588,31.4851,1
,119.77,,0,1.97048,-8.391,40.2981,1
,119.7707,,-0.656417,2.83749,-15.1119,28.9976,1
,119.7713,,-0.656417,0.0788192,-9.61846,16.4888,1
,119.772,,-0.656417,-1.41875,-7.18366,-25.3018,1
,119.7727,,0.583482,4.0986,-7.18366,-73.8443,1
,119.7733,,0.291741,6.54199,-3.19945,-73.4889,1
,119.774,,-0.656417,2.83749,2.29394,-34.1148,1
,119.7747,,0.875223,1.6552,4.12507,-4.26435,1
,119.7753,,1.4587,1.6552,2.89761,1.2793,1
,119.776,,-1.2399,-1.10347,2.29394,-3.90898,1
,119.7767,,-1.89632,-0.788192,-0.160978,-6.68081,1
,119.7773,,2.6986,1.02465,-1.69027,-6.68081,1
,119.778,,5.1784,0.709373,1.67015,-2.41646,1
,119.7787,,2.11512,0.0788192,-1.36832,3.41148,1
,119.7793,,-1.53164,0.0788192,-14.1862,0.355362,1
,119.78,,-1.89632,-2.36458,-21.5107,-7.32046,1
,119.7807,,-1.53164,-2.60103,-20.6052,-3.6247,1
,119.7813,,-0.656417,-0.157638,-17.8485,6.11223,1
,119.782,,0,0.709373,-9.9203,7.39153,1
,119.7827,,-2.18806,-0.788192,-1.99211,0.639652,1
,119.7833,,-3.42796,-3.86214,-1.06648,-5.11722,1
,119.784,,-1.2399,-7.25137,5.03058,-5.75687,1
,119.7847,,0,-5.35971,16.943,0.355362,1
,119.7853,,-3.06328,0.709373,20.2833,5.25936,1
,119.786,,-4.88666,0.0788192,19.6796,3.98006,1
,119.7867,,-4.01144,0.709373,20.6052,-0.56858,1
,119.7873,,-4.59492,18.4437,16.0174,-6.68081,1
,119.788,,-7.07472,37.3603,12.6569,-6.9651,1
,119.7887,,-8.24168,31.2124,17.8485,-6.39652,1
,119.7893,,-8.8981,14.4239,21.5107,-11.8691,1
,119.79,,-8.60636,2.52221,15.1119,10.4476,1
,119.7907,,-5.54308,-21.5176,-0.764648,60.7669,1
,119.7913,,-2.18806,-46.8974,-22.1345,40.6534,1
,119.792,,-1.89632,-39.252,-33.4231,-50.9589,1
,119.7927,,-4.30318,-12.0593,-25.173,-60.9802,1
,119.7933,,-6.12656,0.709373,-8.69284,21.6771,1
,119.794,,-4.88666,1.02465,1.36832,51.5986,1
,119.7947,,-2.77154,-1.10347,1.36832,21.6771,1
,119.7953,,-2.18806,-6.93609,-3.19945,13.1484,1
,119.796,,-2.4798,-11.1923,-5.03058,11.0162,1
,119.7967,,-4.01144,-11.8229,-2.29394,1.2793,1
,119.7973,,-5.25134,-9.06421,-1.36832,10.0923,1
,119.798,,-4.30318,-1.73402,-1.06648,14.712,1
,119.7987,,-2.77154,1.97048,-0.764648,-1.49252,1
,119.7993,,-1.89632,0.709373,-3.19945,-7.60475,1
,119.8,,-0.656417,1.97048,-5.65437,-2.98504,1
,119.8007,,-1.89632,2.83749,-4.42691,-1.49252,1
,119.8013,,-5.25134,0.709373,-5.03058,3.69577,1
